Actual Distance 	Distance to hole	Delay		Result	success	failure
27	26.015	0		1	3	0
27	26.015	0.5		1	2	1
27	26.015	1		1	2	1
27	26.015	1.5		1	2	1
27	26.015	2		0	0	3
27	26.015	2.5		1	3	0
27	26.015	3		0	1	2
27	26.015	3.5		0	0	3
27	26.015	4		0	1	2
27	26.015	4.5		0	0	3
27	26.015	5		0	0	3
25.5	25.09	0		1	2	1
25.5	25.09	0.5		1	2	0
25.5	25.09	1		0	1	2
25.5	25.09	1.5		0	1	2
25.5	25.09	2		1	3	0
25.5	25.09	2.5		1	2	1
25.5	25.09	3		0	0	3
25.5	25.09	3.5		0	1	2
25.5	25.09	4		0	0	3
25.5	25.09	4.5		0	0	3
25.5	25.09	5		0	0	3
22.5	20.79	0		1	3	0
22.5	20.79	0.5		1	3	0
22.5	20.79	1		1	2	1
22.5	20.79	1.5		1	3	0
22.5	20.79	2		1	2	1
22.5	20.79	2.5		1	3	0
22.5	20.79	3		0	1	2
22.5	20.79	3.5		0	1	2
22.5	20.79	4		0	0	3
22.5	20.79	4.5		0	0	3
22.5	20.79	5		0	0	3
30	29.96	0		1		
30	29.96	0.5		1		
30	29.96	1		1		
30	29.96	1.5		1		
30	29.96	2		1		
30	29.96	2.5		1		
30	29.96	3		1		
30	29.96	3.5		0		
30	29.96	4		0		
30	29.96	4.5		0		
30	29.96	5		0		
31.5	31.54	0		1	3	0
31.5	31.54	0.5		0	1	2
31.5	31.54	1		1	2	1
31.5	31.54	1.5		0	1	2
31.5	31.54	2		1	1	3
31.5	31.54	2.5		1	2	1
31.5	31.54	3		0	1	2
31.5	31.54	3.5		0	0	3
31.5	31.54	4		0	0	3
31.5	31.54	4.5		0	0	3
31.5	31.54	5		0	0	3
36	36.15	0		0	1	2
36	36.15	0.5		1	2	1
36	36.15	1		0	1	2
36	36.15	1.5		0	0	3
36	36.15	2		0	0	3
36	36.15	2.5		0	1	2
36	36.15	3		0	0	3
36	36.15	3.5		0	0	3
36	36.15	4		0	0	3
36	36.15	4.5		0	0	3
36	36.15	5		0	0	3
19	15.85	0		1	3	0
19	15.85	0.5		1	3	0
19	15.85	1		0	1	2
19	15.85	1.5		1	2	1
19	15.85	2		1	3	0
19	15.85	2.5		0	0	3
19	15.85	3		0	1	2
19	15.85	3.5		1	2	1
19	15.85	4		0	0	3
19	15.85	4.5		0	1	2
19	15.85	5		0	0	3
12.5	3.78	0		1	3	0
12.5	3.78	0.5		1	3	0
12.5	3.78	1		1	3	0
12.5	3.78	1.5		1	3	0
12.5	3.78	2		1	3	0
12.5	3.78	2.5		1	3	0
12.5	3.78	3		1	3	0
12.5	3.78	3.5		1	3	0
12.5	3.78	4		1	3	0
12.5	3.78	4.5		1	2	1
12.5	3.78	5		0	1	2
